type,length_of_arr,no_compares,no_swaps,time
merge,1300,12867,11852,0.023706912994384766
quick,1300,10771,16628,0.03195977210998535
dual_quick,1300,9606,13875,0.019046783447265625
hybrid,1300,15277,15071,0.020503759384155273
insert,1300,408795,408788,0.6143944263458252
merge,1300,12866,11850,0.02338552474975586
quick,1300,10301,16510,0.019711971282958984
dual_quick,1300,8139,13377,0.019313812255859375
hybrid,1300,15463,15224,0.03682446479797363
insert,1300,414577,414568,0.6188743114471436
merge,1300,12830,11833,0.03728675842285156
quick,1300,9671,16036,0.03075695037841797
dual_quick,1300,8881,12729,0.018952131271362305
hybrid,1300,15256,15041,0.022832870483398438
insert,1300,422844,422838,0.6219568252563477
merge,1300,12818,11786,0.023423194885253906
quick,1300,9614,16533,0.02090930938720703
dual_quick,1300,9105,13894,0.017314910888671875
hybrid,1300,15247,15036,0.02209305763244629
insert,1400,495719,495713,0.5729765892028809
merge,1400,13985,12871,0.022703886032104492
quick,1400,10697,17527,0.024859905242919922
dual_quick,1400,9276,14130,0.01828312873840332
hybrid,1400,16927,16725,0.02190566062927246
insert,1400,488871,488868,0.5648829936981201
merge,1400,13961,12938,0.02504587173461914
quick,1400,10506,16353,0.01882004737854004
dual_quick,1400,8334,13810,0.017368316650390625
hybrid,1400,16849,16641,0.021943092346191406
insert,1400,481137,481134,0.6472597122192383
merge,1400,14034,12918,0.0413968563079834
quick,1400,10404,16799,0.03655242919921875
dual_quick,1400,9997,14132,0.03393697738647461
hybrid,1400,17058,16833,0.04031729698181152
insert,1400,486094,486090,0.7455215454101562
merge,1400,14019,12897,0.02505207061767578
quick,1400,10539,16776,0.021895408630371094
dual_quick,1400,8548,14563,0.020597219467163086
hybrid,1400,17128,16890,0.03975820541381836
insert,1400,473985,473978,0.7200336456298828
merge,1400,14024,12915,0.025051355361938477
quick,1400,13480,19595,0.022644996643066406
dual_quick,1400,10489,14301,0.019164323806762695
hybrid,1400,17192,16966,0.03816413879394531
insert,1500,567747,567742,0.6853752136230469
merge,1500,15141,13981,0.027995586395263672
quick,1500,11638,19489,0.023753881454467773
dual_quick,1500,10130,15256,0.023247480392456055
hybrid,1500,15855,15481,0.022587299346923828
insert,1500,562431,562426,0.6989302635192871
merge,1500,15167,13972,0.028789758682250977
quick,1500,12036,19016,0.023997068405151367
dual_quick,1500,9853,16024,0.021031618118286133
hybrid,1500,15872,15506,0.025179624557495117
insert,1500,567320,567313,0.6554841995239258
merge,1500,15142,13960,0.028299331665039062
quick,1500,11278,17853,0.020319223403930664
dual_quick,1500,8851,15788,0.01938462257385254
hybrid,1500,15913,15532,0.02406907081604004
insert,1500,567874,567867,0.8575811386108398
merge,1500,15119,13975,0.04361605644226074
quick,1500,11205,18187,0.03656721115112305
dual_quick,1500,10594,15781,0.019835710525512695
hybrid,1500,15704,15315,0.02346062660217285
insert,1500,566972,566964,0.7690086364746094
merge,1500,15141,14016,0.026334762573242188
quick,1500,12794,18318,0.022567033767700195
dual_quick,1500,10166,15576,0.019873857498168945
hybrid,1500,15770,15395,0.02398395538330078
insert,1600,643396,643391,0.738656759262085
merge,1600,16264,15034,0.028135061264038086
quick,1600,13349,21343,0.023591995239257812
dual_quick,1600,11530,17491,0.02600884437561035
hybrid,1600,17094,16719,0.02420663833618164
insert,1600,635543,635535,0.7701365947723389
merge,1600,16248,15065,0.047538042068481445
quick,1600,14349,20532,0.04459214210510254
dual_quick,1600,10424,16450,0.03785276412963867
hybrid,1600,17125,16721,0.04315948486328125
insert,1600,638691,638684,0.9687027931213379
merge,1600,16220,15080,0.030767440795898438
quick,1600,14161,24214,0.029134273529052734
dual_quick,1600,10349,16456,0.022977590560913086
hybrid,1600,17005,16635,0.023656845092773438
insert,1600,650552,650543,0.7669100761413574
merge,1600,16318,15081,0.0265350341796875
quick,1600,12710,20669,0.027704715728759766
dual_quick,1600,11763,16590,0.023738861083984375
hybrid,1600,17125,16739,0.026222705841064453
insert,1600,627401,627397,0.750319242477417
merge,1600,16316,15029,0.030469179153442383
quick,1600,11863,19789,0.024993181228637695
